material_code,description,business_unit,intro_date,phaseout_date
100249,LUSH-like Product 250,Haircare,2024-09-01 18:18:15.938575,2025-10-01 18:18:15.938575
100250,LUSH-like Product 251,Skincare,2024-08-01 18:18:15.938575,2025-04-01 18:18:15.938575
100251,LUSH-like Product 252,Bath,2025-07-01 18:18:15.938575,
100252,LUSH-like Product 253,Fragrance,2024-09-01 18:18:15.938575,
100253,LUSH-like Product 254,Bath,2024-02-01 18:18:15.938575,
100254,LUSH-like Product 255,Bath,2024-12-01 18:18:15.938575,2026-03-01 18:18:15.938575
100255,LUSH-like Product 256,Haircare,2025-07-01 18:18:15.938575,
100256,LUSH-like Product 257,Haircare,2025-12-01 18:18:15.938575,
100257,LUSH-like Product 258,Skincare,2024-11-01 18:18:15.938575,2025-11-01 18:18:15.938575
100258,LUSH-like Product 259,Fragrance,2024-04-01 18:18:15.938575,
100259,LUSH-like Product 260,Haircare,2024-08-01 18:18:15.938575,2025-10-01 18:18:15.938575
100260,LUSH-like Product 261,Bath,2025-05-01 18:18:15.938575,
100261,LUSH-like Product 262,Skincare,2025-05-01 18:18:15.938575,2026-10-01 18:18:15.938575
100262,LUSH-like Product 263,Bath,2025-09-01 18:18:15.938575,
100263,LUSH-like Product 264,Bath,2025-06-01 18:18:15.938575,
100264,LUSH-like Product 265,Haircare,2024-03-01 18:18:15.938575,
100265,LUSH-like Product 266,Skincare,2024-02-01 18:18:15.938575,
100266,LUSH-like Product 267,Fragrance,2025-05-01 18:18:15.938575,
100267,LUSH-like Product 268,Fragrance,2025-01-01 18:18:15.938575,
100268,LUSH-like Product 269,Haircare,2024-06-01 18:18:15.938575,
100269,LUSH-like Product 270,Haircare,2024-06-01 18:18:15.938575,
100270,LUSH-like Product 271,Skincare,2025-12-01 18:18:15.938575,
100271,LUSH-like Product 272,Fragrance,2024-10-01 18:18:15.938575,
100272,LUSH-like Product 273,Fragrance,2024-10-01 18:18:15.938575,
100273,LUSH-like Product 274,Fragrance,2024-04-01 18:18:15.938575,
100274,LUSH-like Product 275,Bath,2025-08-01 18:18:15.938575,
100275,LUSH-like Product 276,Fragrance,2025-05-01 18:18:15.938575,
100276,LUSH-like Product 277,Bath,2025-05-01 18:18:15.938575,
100277,LUSH-like Product 278,Skincare,2024-04-01 18:18:15.938575,
100278,LUSH-like Product 279,Bath,2025-09-01 18:18:15.938575,
100279,LUSH-like Product 280,Skincare,2026-01-01 18:18:15.938575,
100280,LUSH-like Product 281,Fragrance,2025-11-01 18:18:15.938575,
100281,LUSH-like Product 282,Fragrance,2026-01-01 18:18:15.938575,2026-11-01 18:18:15.938575
100282,LUSH-like Product 283,Skincare,2024-02-01 18:18:15.938575,
100283,LUSH-like Product 284,Haircare,2026-01-01 18:18:15.938575,
100284,LUSH-like Product 285,Skincare,2025-09-01 18:18:15.938575,
100285,LUSH-like Product 286,Haircare,2024-12-01 18:18:15.938575,
100286,LUSH-like Product 287,Bath,2025-06-01 18:18:15.938575,
100287,LUSH-like Product 288,Bath,2024-09-01 18:18:15.938575,
100288,LUSH-like Product 289,Bath,2024-05-01 18:18:15.938575,
100289,LUSH-like Product 290,Fragrance,2024-07-01 18:18:15.938575,2025-03-01 18:18:15.938575
100290,LUSH-like Product 291,Bath,2024-09-01 18:18:15.938575,2025-07-01 18:18:15.938575
100291,LUSH-like Product 292,Haircare,2025-09-01 18:18:15.938575,
100292,LUSH-like Product 293,Bath,2024-04-01 18:18:15.938575,2024-11-01 18:18:15.938575
100293,LUSH-like Product 294,Skincare,2025-05-01 18:18:15.938575,
100294,LUSH-like Product 295,Skincare,2024-04-01 18:18:15.938575,
100295,LUSH-like Product 296,Fragrance,2025-07-01 18:18:15.938575,2026-06-01 18:18:15.938575
100296,LUSH-like Product 297,Skincare,2025-03-01 18:18:15.938575,
100297,LUSH-like Product 298,Haircare,2025-07-01 18:18:15.938575,
100298,LUSH-like Product 299,Bath,2024-03-01 18:18:15.938575,
100299,LUSH-like Product 300,Fragrance,2025-11-01 18:18:15.938575,
100300,LUSH-like Product 301,Bath,2024-04-01 18:18:15.938575,
100301,LUSH-like Product 302,Bath,2025-05-01 18:18:15.938575,
100302,LUSH-like Product 303,Haircare,2024-10-01 18:18:15.938575,
100303,LUSH-like Product 304,Skincare,2024-05-01 18:18:15.938575,
100304,LUSH-like Product 305,Skincare,2024-02-01 18:18:15.938575,
100305,LUSH-like Product 306,Bath,2024-05-01 18:18:15.938575,
100306,LUSH-like Product 307,Fragrance,2024-02-01 18:18:15.938575,
100307,LUSH-like Product 308,Skincare,2025-03-01 18:18:15.938575,
100308,LUSH-like Product 309,Fragrance,2025-10-01 18:18:15.938575,
100309,LUSH-like Product 310,Skincare,2025-05-01 18:18:15.938575,2026-08-01 18:18:15.938575
100310,LUSH-like Product 311,Fragrance,2025-09-01 18:18:15.938575,
100311,LUSH-like Product 312,Haircare,2026-01-01 18:18:15.938575,2027-05-01 18:18:15.938575
100312,LUSH-like Product 313,Fragrance,2024-09-01 18:18:15.938575,
100313,LUSH-like Product 314,Haircare,2024-08-01 18:18:15.938575,
100314,LUSH-like Product 315,Haircare,2024-04-01 18:18:15.938575,
100315,LUSH-like Product 316,Fragrance,2025-06-01 18:18:15.938575,
100316,LUSH-like Product 317,Haircare,2024-02-01 18:18:15.938575,
100317,LUSH-like Product 318,Bath,2025-05-01 18:18:15.938575,
100318,LUSH-like Product 319,Haircare,2025-01-01 18:18:15.938575,
100319,LUSH-like Product 320,Skincare,2025-08-01 18:18:15.938575,
100320,LUSH-like Product 321,Fragrance,2025-11-01 18:18:15.938575,
100321,LUSH-like Product 322,Bath,2025-12-01 18:18:15.938575,2026-10-01 18:18:15.938575
100322,LUSH-like Product 323,Fragrance,2025-11-01 18:18:15.938575,2027-01-01 18:18:15.938575
100323,LUSH-like Product 324,Skincare,2025-03-01 18:18:15.938575,
100324,LUSH-like Product 325,Skincare,2024-07-01 18:18:15.938575,
100325,LUSH-like Product 326,Skincare,2024-07-01 18:18:15.938575,
100326,LUSH-like Product 327,Haircare,2025-02-01 18:18:15.938575,
100327,LUSH-like Product 328,Haircare,2025-08-01 18:18:15.938575,
100328,LUSH-like Product 329,Fragrance,2025-11-01 18:18:15.938575,
100329,LUSH-like Product 330,Fragrance,2024-09-01 18:18:15.938575,
100330,LUSH-like Product 331,Bath,2024-03-01 18:18:15.938575,2025-04-01 18:18:15.938575
100331,LUSH-like Product 332,Bath,2025-10-01 18:18:15.938575,
100332,LUSH-like Product 333,Fragrance,2024-02-01 18:18:15.938575,
100333,LUSH-like Product 334,Haircare,2025-04-01 18:18:15.938575,
100334,LUSH-like Product 335,Skincare,2024-02-01 18:18:15.938575,
100335,LUSH-like Product 336,Fragrance,2024-06-01 18:18:15.938575,
100336,LUSH-like Product 337,Bath,2025-05-01 18:18:15.938575,2026-06-01 18:18:15.938575
100337,LUSH-like Product 338,Haircare,2025-08-01 18:18:15.938575,
100338,LUSH-like Product 339,Fragrance,2024-05-01 18:18:15.938575,
100339,LUSH-like Product 340,Fragrance,2024-04-01 18:18:15.938575,
100340,LUSH-like Product 341,Haircare,2025-06-01 18:18:15.938575,
100341,LUSH-like Product 342,Fragrance,2025-06-01 18:18:15.938575,
100342,LUSH-like Product 343,Haircare,2025-01-01 18:18:15.938575,
100343,LUSH-like Product 344,Skincare,2025-03-01 18:18:15.938575,
100344,LUSH-like Product 345,Haircare,2025-10-01 18:18:15.938575,
100345,LUSH-like Product 346,Haircare,2024-07-01 18:18:15.938575,
100346,LUSH-like Product 347,Haircare,2024-04-01 18:18:15.938575,
100347,LUSH-like Product 348,Fragrance,2024-10-01 18:18:15.938575,
100348,LUSH-like Product 349,Fragrance,2024-06-01 18:18:15.938575,
100349,LUSH-like Product 350,Haircare,2026-01-01 18:18:15.938575,
100350,LUSH-like Product 351,Fragrance,2025-06-01 18:18:15.938575,
100351,LUSH-like Product 352,Bath,2025-03-01 18:18:15.938575,
100352,LUSH-like Product 353,Bath,2025-10-01 18:18:15.938575,
100353,LUSH-like Product 354,Fragrance,2024-04-01 18:18:15.938575,
100354,LUSH-like Product 355,Fragrance,2024-02-01 18:18:15.938575,
100355,LUSH-like Product 356,Haircare,2025-09-01 18:18:15.938575,
100356,LUSH-like Product 357,Skincare,2025-10-01 18:18:15.938575,
100357,LUSH-like Product 358,Fragrance,2025-12-01 18:18:15.938575,
100358,LUSH-like Product 359,Bath,2024-02-01 18:18:15.938575,2025-03-01 18:18:15.938575
100359,LUSH-like Product 360,Haircare,2024-04-01 18:18:15.938575,
100360,LUSH-like Product 361,Fragrance,2025-07-01 18:18:15.938575,2026-06-01 18:18:15.938575
100361,LUSH-like Product 362,Bath,2024-11-01 18:18:15.938575,
100362,LUSH-like Product 363,Bath,2025-11-01 18:18:15.938575,
100363,LUSH-like Product 364,Skincare,2024-04-01 18:18:15.938575,
100364,LUSH-like Product 365,Haircare,2024-09-01 18:18:15.938575,
100365,LUSH-like Product 366,Haircare,2025-03-01 18:18:15.938575,
100366,LUSH-like Product 367,Skincare,2026-01-01 18:18:15.938575,
100367,LUSH-like Product 368,Skincare,2025-07-01 18:18:15.938575,
100368,LUSH-like Product 369,Haircare,2025-04-01 18:18:15.938575,
100369,LUSH-like Product 370,Haircare,2025-11-01 18:18:15.938575,
100370,LUSH-like Product 371,Fragrance,2025-12-01 18:18:15.938575,
100371,LUSH-like Product 372,Fragrance,2024-03-01 18:18:15.938575,
100372,LUSH-like Product 373,Skincare,2024-11-01 18:18:15.938575,
100373,LUSH-like Product 374,Fragrance,2024-03-01 18:18:15.938575,2024-12-01 18:18:15.938575
100374,LUSH-like Product 375,Bath,2025-06-01 18:18:15.938575,
100375,LUSH-like Product 376,Fragrance,2024-09-01 18:18:15.938575,
100376,LUSH-like Product 377,Fragrance,2024-02-01 18:18:15.938575,
100377,LUSH-like Product 378,Bath,2024-10-01 18:18:15.938575,
100378,LUSH-like Product 379,Skincare,2024-12-01 18:18:15.938575,
100379,LUSH-like Product 380,Bath,2025-11-01 18:18:15.938575,2026-08-01 18:18:15.938575
100380,LUSH-like Product 381,Fragrance,2025-05-01 18:18:15.938575,
100381,LUSH-like Product 382,Skincare,2024-08-01 18:18:15.938575,
100382,LUSH-like Product 383,Fragrance,2024-11-01 18:18:15.938575,
100383,LUSH-like Product 384,Bath,2025-12-01 18:18:15.938575,
100384,LUSH-like Product 385,Bath,2024-04-01 18:18:15.938575,
100385,LUSH-like Product 386,Fragrance,2025-07-01 18:18:15.938575,
100386,LUSH-like Product 387,Haircare,2026-01-01 18:18:15.938575,
100387,LUSH-like Product 388,Haircare,2025-02-01 18:18:15.938575,2025-10-01 18:18:15.938575
100388,LUSH-like Product 389,Bath,2024-08-01 18:18:15.938575,
100389,LUSH-like Product 390,Bath,2024-05-01 18:18:15.938575,
100390,LUSH-like Product 391,Haircare,2025-02-01 18:18:15.938575,
100391,LUSH-like Product 392,Haircare,2025-09-01 18:18:15.938575,
100392,LUSH-like Product 393,Fragrance,2024-02-01 18:18:15.938575,
100393,LUSH-like Product 394,Fragrance,2024-09-01 18:18:15.938575,
100394,LUSH-like Product 395,Haircare,2025-03-01 18:18:15.938575,
100395,LUSH-like Product 396,Fragrance,2025-05-01 18:18:15.938575,
100396,LUSH-like Product 397,Fragrance,2025-03-01 18:18:15.938575,
100397,LUSH-like Product 398,Skincare,2025-01-01 18:18:15.938575,
100398,LUSH-like Product 399,Fragrance,2025-08-01 18:18:15.938575,
100399,LUSH-like Product 400,Bath,2025-12-01 18:18:15.938575,
100400,LUSH-like Product 401,Fragrance,2025-04-01 18:18:15.938575,
100401,LUSH-like Product 402,Fragrance,2024-03-01 18:18:15.938575,
100402,LUSH-like Product 403,Haircare,2024-03-01 18:18:15.938575,2025-08-01 18:18:15.938575
100403,LUSH-like Product 404,Bath,2025-12-01 18:18:15.938575,
100404,LUSH-like Product 405,Fragrance,2025-11-01 18:18:15.938575,2026-08-01 18:18:15.938575
100405,LUSH-like Product 406,Fragrance,2025-08-01 18:18:15.938575,
100406,LUSH-like Product 407,Skincare,2025-11-01 18:18:15.938575,2027-02-01 18:18:15.938575
100407,LUSH-like Product 408,Fragrance,2025-11-01 18:18:15.938575,
100408,LUSH-like Product 409,Fragrance,2025-06-01 18:18:15.938575,
100409,LUSH-like Product 410,Skincare,2025-09-01 18:18:15.938575,2026-05-01 18:18:15.938575
100410,LUSH-like Product 411,Haircare,2024-11-01 18:18:15.938575,
100411,LUSH-like Product 412,Fragrance,2024-07-01 18:18:15.938575,
100412,LUSH-like Product 413,Skincare,2025-04-01 18:18:15.938575,
100413,LUSH-like Product 414,Bath,2025-11-01 18:18:15.938575,
100414,LUSH-like Product 415,Haircare,2024-12-01 18:18:15.938575,2025-10-01 18:18:15.938575
100415,LUSH-like Product 416,Bath,2024-06-01 18:18:15.938575,
100416,LUSH-like Product 417,Bath,2024-02-01 18:18:15.938575,
100417,LUSH-like Product 418,Skincare,2024-09-01 18:18:15.938575,
100418,LUSH-like Product 419,Fragrance,2025-10-01 18:18:15.938575,
100419,LUSH-like Product 420,Skincare,2025-01-01 18:18:15.938575,
100420,LUSH-like Product 421,Skincare,2025-01-01 18:18:15.938575,
100421,LUSH-like Product 422,Skincare,2024-06-01 18:18:15.938575,
100422,LUSH-like Product 423,Skincare,2024-08-01 18:18:15.938575,
100423,LUSH-like Product 424,Haircare,2024-05-01 18:18:15.938575,
100424,LUSH-like Product 425,Fragrance,2024-07-01 18:18:15.938575,
100425,LUSH-like Product 426,Bath,2025-02-01 18:18:15.938575,
100426,LUSH-like Product 427,Bath,2025-09-01 18:18:15.938575,
100427,LUSH-like Product 428,Fragrance,2025-04-01 18:18:15.938575,2026-01-01 18:18:15.938575
100428,LUSH-like Product 429,Bath,2024-04-01 18:18:15.938575,
100429,LUSH-like Product 430,Fragrance,2025-12-01 18:18:15.938575,
100430,LUSH-like Product 431,Bath,2024-09-01 18:18:15.938575,
100431,LUSH-like Product 432,Skincare,2025-09-01 18:18:15.938575,
100432,LUSH-like Product 433,Bath,2025-05-01 18:18:15.938575,
100433,LUSH-like Product 434,Fragrance,2025-02-01 18:18:15.938575,
100434,LUSH-like Product 435,Fragrance,2025-07-01 18:18:15.938575,
100435,LUSH-like Product 436,Fragrance,2024-11-01 18:18:15.938575,
100436,LUSH-like Product 437,Fragrance,2025-08-01 18:18:15.938575,2026-09-01 18:18:15.938575
100437,LUSH-like Product 438,Fragrance,2025-06-01 18:18:15.938575,
100438,LUSH-like Product 439,Haircare,2026-01-01 18:18:15.938575,
100439,LUSH-like Product 440,Haircare,2025-08-01 18:18:15.938575,2026-02-01 18:18:15.938575
100440,LUSH-like Product 441,Bath,2025-12-01 18:18:15.938575,
100441,LUSH-like Product 442,Fragrance,2024-06-01 18:18:15.938575,
100442,LUSH-like Product 443,Bath,2025-10-01 18:18:15.938575,
100443,LUSH-like Product 444,Fragrance,2025-12-01 18:18:15.938575,2026-10-01 18:18:15.938575
100444,LUSH-like Product 445,Fragrance,2024-10-01 18:18:15.938575,
100445,LUSH-like Product 446,Haircare,2025-01-01 18:18:15.938575,
100446,LUSH-like Product 447,Haircare,2025-10-01 18:18:15.938575,
100447,LUSH-like Product 448,Skincare,2024-02-01 18:18:15.938575,
100448,LUSH-like Product 449,Haircare,2024-02-01 18:18:15.938575,
100449,LUSH-like Product 450,Skincare,2025-04-01 18:18:15.938575,
100450,LUSH-like Product 451,Skincare,2024-03-01 18:18:15.938575,
100451,LUSH-like Product 452,Skincare,2025-11-01 18:18:15.938575,
100452,LUSH-like Product 453,Skincare,2025-05-01 18:18:15.938575,
100453,LUSH-like Product 454,Skincare,2024-09-01 18:18:15.938575,
100454,LUSH-like Product 455,Bath,2025-02-01 18:18:15.938575,
100455,LUSH-like Product 456,Haircare,2025-10-01 18:18:15.938575,
100456,LUSH-like Product 457,Skincare,2024-02-01 18:18:15.938575,
100457,LUSH-like Product 458,Fragrance,2025-05-01 18:18:15.938575,
100458,LUSH-like Product 459,Haircare,2024-08-01 18:18:15.938575,
100459,LUSH-like Product 460,Haircare,2024-06-01 18:18:15.938575,
100460,LUSH-like Product 461,Skincare,2025-11-01 18:18:15.938575,
100461,LUSH-like Product 462,Bath,2025-12-01 18:18:15.938575,
100462,LUSH-like Product 463,Skincare,2024-04-01 18:18:15.938575,
100463,LUSH-like Product 464,Bath,2025-01-01 18:18:15.938575,
100464,LUSH-like Product 465,Fragrance,2025-05-01 18:18:15.938575,
100465,LUSH-like Product 466,Haircare,2025-08-01 18:18:15.938575,
100466,LUSH-like Product 467,Fragrance,2024-06-01 18:18:15.938575,
100467,LUSH-like Product 468,Bath,2025-11-01 18:18:15.938575,
100468,LUSH-like Product 469,Bath,2025-03-01 18:18:15.938575,
100469,LUSH-like Product 470,Fragrance,2024-06-01 18:18:15.938575,2025-07-01 18:18:15.938575
100470,LUSH-like Product 471,Bath,2025-04-01 18:18:15.938575,
100471,LUSH-like Product 472,Fragrance,2025-06-01 18:18:15.938575,
100472,LUSH-like Product 473,Haircare,2025-03-01 18:18:15.938575,
100473,LUSH-like Product 474,Fragrance,2025-09-01 18:18:15.938575,
100474,LUSH-like Product 475,Haircare,2024-06-01 18:18:15.938575,
100475,LUSH-like Product 476,Fragrance,2025-01-01 18:18:15.938575,
100476,LUSH-like Product 477,Bath,2025-05-01 18:18:15.938575,2026-10-01 18:18:15.938575
100477,LUSH-like Product 478,Fragrance,2025-05-01 18:18:15.938575,
100478,LUSH-like Product 479,Bath,2025-10-01 18:18:15.938575,
100479,LUSH-like Product 480,Fragrance,2024-08-01 18:18:15.938575,
100480,LUSH-like Product 481,Fragrance,2024-05-01 18:18:15.938575,
100481,LUSH-like Product 482,Skincare,2024-02-01 18:18:15.938575,
100482,LUSH-like Product 483,Bath,2024-06-01 18:18:15.938575,
100483,LUSH-like Product 484,Skincare,2025-12-01 18:18:15.938575,
100484,LUSH-like Product 485,Bath,2024-11-01 18:18:15.938575,
100485,LUSH-like Product 486,Skincare,2025-11-01 18:18:15.938575,
100486,LUSH-like Product 487,Haircare,2024-06-01 18:18:15.938575,
100487,LUSH-like Product 488,Fragrance,2024-05-01 18:18:15.938575,
100488,LUSH-like Product 489,Bath,2024-03-01 18:18:15.938575,
100489,LUSH-like Product 490,Bath,2025-09-01 18:18:15.938575,
100490,LUSH-like Product 491,Fragrance,2024-11-01 18:18:15.938575,
100491,LUSH-like Product 492,Bath,2025-08-01 18:18:15.938575,
100492,LUSH-like Product 493,Bath,2024-02-01 18:18:15.938575,
100493,LUSH-like Product 494,Skincare,2026-01-01 18:18:15.938575,
100494,LUSH-like Product 495,Bath,2024-06-01 18:18:15.938575,
100495,LUSH-like Product 496,Haircare,2025-02-01 18:18:15.938575,
100496,LUSH-like Product 497,Haircare,2024-05-01 18:18:15.938575,2025-05-01 18:18:15.938575
100497,LUSH-like Product 498,Fragrance,2025-05-01 18:18:15.938575,
100498,LUSH-like Product 499,Bath,2026-01-01 18:18:15.938575,2027-01-01 18:18:15.938575
100499,LUSH-like Product 500,Fragrance,2025-05-01 18:18:15.938575,
